epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
1,112.768,0.65896,0.94482,0.8851,0.92482,0.8849,0.94262,0.84573,0.43772,0.43785,0.82338,0.000349915,0.00699829
2,194.971,0.54282,0.45247,0.84465,0.92709,0.89946,0.95405,0.87011,0.39892,0.3926,0.8123,0.000349658,0.00699316
3,276.577,0.50448,0.41459,0.83467,0.93419,0.90775,0.9583,0.88136,0.38993,0.35513,0.80699,0.000349231,0.00698462
4,357.729,0.48095,0.38937,0.8287,0.93665,0.91226,0.96053,0.88803,0.37055,0.34605,0.80123,0.000348634,0.00697268
5,440.277,0.46885,0.37275,0.82427,0.93834,0.91184,0.96209,0.89256,0.35737,0.32979,0.79879,0.000347867,0.00695734
6,522.313,0.46137,0.36646,0.82266,0.94049,0.91409,0.96328,0.90263,0.32883,0.30517,0.7952,0.000346931,0.00693863
7,604.408,0.45053,0.3556,0.82042,0.93737,0.91848,0.96456,0.90044,0.34052,0.30334,0.79488,0.000345828,0.00691655
8,685.135,0.44356,0.35191,0.81924,0.93954,0.91709,0.9647,0.90452,0.32486,0.30143,0.79393,0.000344557,0.00689114
9,766.572,0.4378,0.34258,0.81743,0.93727,0.92095,0.96619,0.9063,0.33117,0.29558,0.79307,0.000343121,0.00686242
10,848.931,0.43205,0.33892,0.81658,0.93604,0.92163,0.96607,0.90821,0.3208,0.30029,0.7922,0.000341521,0.00683041
11,931.407,0.43046,0.33561,0.81591,0.93926,0.92173,0.96744,0.90881,0.32472,0.28956,0.79153,0.000339758,0.00679515
12,1012.39,0.42491,0.33126,0.81441,0.94073,0.92131,0.96829,0.91253,0.30797,0.28325,0.78988,0.000337834,0.00675668
13,1094,0.41904,0.3266,0.81306,0.93792,0.92499,0.96875,0.91437,0.30673,0.28215,0.79075,0.000335751,0.00671502
14,1176.46,0.41257,0.32374,0.81247,0.94279,0.92098,0.9691,0.91378,0.31032,0.28135,0.79004,0.000333511,0.00667023
15,1258.34,0.40696,0.32042,0.81173,0.94026,0.92271,0.96835,0.9155,0.30531,0.27977,0.78876,0.000331117,0.00662234
16,1340.54,0.40153,0.31784,0.81035,0.93933,0.9259,0.96852,0.917,0.29978,0.27706,0.78765,0.00032857,0.0065714
17,1422.28,0.39356,0.31383,0.81035,0.94026,0.92501,0.97009,0.91935,0.29502,0.27559,0.78724,0.000325874,0.00651747
18,1504.64,0.39093,0.31397,0.81054,0.94092,0.92565,0.96983,0.91973,0.29406,0.27224,0.78747,0.00032303,0.0064606
19,1587.2,0.38722,0.30869,0.80917,0.94082,0.92636,0.9705,0.92061,0.29321,0.27156,0.78716,0.000320042,0.00640083
20,1669.25,0.38323,0.30713,0.80896,0.94248,0.92527,0.97049,0.92183,0.28863,0.26629,0.78654,0.000316912,0.00633824
21,1750.28,0.38149,0.30549,0.80891,0.94278,0.92393,0.97075,0.92304,0.28677,0.26866,0.78581,0.000313644,0.00627289
22,1831.49,0.37743,0.30305,0.80855,0.93985,0.92757,0.9708,0.92289,0.28596,0.26533,0.78608,0.000310241,0.00620483
23,1912.73,0.37681,0.30334,0.80745,0.94017,0.92786,0.97133,0.92411,0.28335,0.26635,0.78548,0.000306707,0.00613413
24,1995.03,0.3726,0.29944,0.80675,0.94076,0.92786,0.9714,0.92406,0.28394,0.26334,0.78622,0.000303044,0.00606088
25,2076.02,0.37288,0.29787,0.80701,0.94173,0.92556,0.97148,0.92486,0.28185,0.26343,0.78457,0.000299256,0.00598512
26,2157.43,0.37067,0.29526,0.80588,0.94229,0.92553,0.97162,0.92442,0.28405,0.26392,0.78488,0.000295348,0.00590696
27,2238.88,0.36997,0.29564,0.80553,0.94357,0.92542,0.9718,0.925,0.28307,0.26153,0.78516,0.000291322,0.00582645
28,2321.08,0.36824,0.29369,0.8053,0.93865,0.92918,0.97195,0.92534,0.28028,0.25939,0.78446,0.000287184,0.00574367
29,2403,0.36564,0.29062,0.80522,0.94319,0.92733,0.97201,0.92606,0.28027,0.26046,0.78516,0.000282936,0.00565872
30,2484.48,0.36363,0.28794,0.80452,0.94071,0.931,0.97261,0.9268,0.28011,0.25859,0.78454,0.000278584,0.00557168
31,2565.81,0.36419,0.28968,0.80501,0.94289,0.92873,0.97261,0.92815,0.27779,0.25664,0.78446,0.000274131,0.00548262
32,2647.87,0.36326,0.28918,0.80506,0.94211,0.92958,0.97269,0.92771,0.27818,0.25794,0.7848,0.000269582,0.00539164
33,2729.06,0.35968,0.28566,0.80477,0.94153,0.92903,0.97295,0.92795,0.27638,0.25628,0.78357,0.000264941,0.00529883
34,2809.69,0.36126,0.28731,0.80405,0.94391,0.92865,0.97331,0.92857,0.2761,0.25637,0.78333,0.000260214,0.00520428
35,2890.9,0.35967,0.28454,0.80316,0.94397,0.92774,0.97342,0.92864,0.27627,0.25654,0.78384,0.000255404,0.00510808
36,2973.22,0.35705,0.28348,0.80417,0.94212,0.92959,0.97326,0.92883,0.27568,0.25576,0.78388,0.000250516,0.00501033
37,3055.89,0.35681,0.28198,0.80314,0.94362,0.9283,0.9734,0.9282,0.27481,0.25532,0.78331,0.000245556,0.00491112
38,3137.4,0.3559,0.27963,0.80256,0.94325,0.9303,0.97357,0.92966,0.27253,0.25157,0.78232,0.000240528,0.00481055
39,3218.87,0.35646,0.28121,0.80289,0.94322,0.9287,0.97358,0.92997,0.27284,0.25197,0.78271,0.000235436,0.00470873
40,3300.51,0.35465,0.28006,0.80215,0.94174,0.93104,0.97421,0.93038,0.27192,0.25258,0.78251,0.000230287,0.00460574
41,3382.63,0.35381,0.27906,0.80273,0.94472,0.92932,0.97444,0.93059,0.27168,0.25138,0.78238,0.000225085,0.0045017
42,3464.21,0.35055,0.27612,0.80191,0.94345,0.92945,0.97394,0.93057,0.27116,0.25093,0.78217,0.000219836,0.00439671
43,3544.95,0.35261,0.27752,0.80146,0.94367,0.9306,0.97466,0.93071,0.27243,0.25046,0.78247,0.000214543,0.00429087
44,3626,0.3486,0.27437,0.8017,0.94359,0.93041,0.97454,0.93107,0.27134,0.25046,0.78216,0.000209214,0.00418428
45,3707.8,0.34911,0.27362,0.80131,0.94631,0.92745,0.97444,0.93131,0.27015,0.24969,0.78237,0.000203852,0.00407705
46,3790.1,0.3474,0.27299,0.80196,0.94295,0.93213,0.97423,0.93093,0.27084,0.24826,0.78194,0.000198464,0.00396928
47,3871.34,0.34814,0.27288,0.80144,0.9434,0.93152,0.97478,0.93178,0.26983,0.24787,0.78166,0.000193054,0.00386109
