epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,151.337,2.05299,3.48745,0.01788,0.48873,0.20424,0.19977,0.09348,1.85066,2.26806,0.0276,0.000664399,0.000664399,0.000664399
2,304.423,2.0551,2.19183,0.0194,0.4073,0.27395,0.26618,0.11041,2.10494,1.89362,0.03272,0.00132008,0.00132008,0.00132008
3,464.029,2.17148,2.08599,0.01922,0.51431,0.24582,0.26764,0.12546,1.98314,1.77868,0.03189,0.00196477,0.00196477,0.00196477
4,631.311,2.07659,2.03973,0.02007,0.50817,0.30086,0.31892,0.14357,1.9075,1.6057,0.02946,0.0019505,0.0019505,0.0019505
5,761.929,2.08051,1.87908,0.01924,0.50617,0.25683,0.28094,0.14301,1.85052,1.84656,0.02748,0.001934,0.001934,0.001934
6,835.305,1.99971,1.84106,0.01851,0.43658,0.3192,0.31244,0.14748,1.86348,1.67444,0.02803,0.0019175,0.0019175,0.0019175
7,906.274,2.01001,1.80881,0.01804,0.506,0.29923,0.32115,0.16077,1.7628,2.38886,0.02656,0.001901,0.001901,0.001901
8,978.504,2.02306,1.76412,0.01716,0.5509,0.35205,0.38552,0.19946,1.69462,1.43079,0.02499,0.0018845,0.0018845,0.0018845
9,1049.98,1.97684,1.76585,0.01808,0.54967,0.31839,0.36399,0.18098,1.72644,1.60356,0.02538,0.001868,0.001868,0.001868
10,1122.51,1.95913,1.73017,0.01725,0.53182,0.36567,0.38996,0.20642,1.65585,1.32332,0.02436,0.0018515,0.0018515,0.0018515
11,1199.4,1.93893,1.6531,0.01634,0.49228,0.35304,0.35001,0.17506,1.72389,1.73417,0.0252,0.001835,0.001835,0.001835
12,1268.53,1.88874,1.65645,0.01651,0.57243,0.38891,0.42758,0.22781,1.57966,1.23145,0.02269,0.0018185,0.0018185,0.0018185
13,1338.81,1.8356,1.57783,0.01689,0.50667,0.36649,0.37816,0.19309,1.71147,1.59395,0.02573,0.001802,0.001802,0.001802
14,1409.7,1.85917,1.6323,0.01715,0.56861,0.37937,0.4177,0.2208,1.62097,1.39532,0.0228,0.0017855,0.0017855,0.0017855
15,1478.63,1.85364,1.57395,0.01669,0.57907,0.39747,0.43841,0.23164,1.63727,1.12726,0.02388,0.001769,0.001769,0.001769
16,1547.3,1.85343,1.52821,0.01648,0.57278,0.38915,0.43022,0.22911,1.59199,1.15845,0.02222,0.0017525,0.0017525,0.0017525
17,1615.8,1.86392,1.56297,0.01584,0.58981,0.37749,0.43645,0.22664,1.63259,1.33559,0.02389,0.001736,0.001736,0.001736
18,1685.24,1.78915,1.513,0.01588,0.61216,0.39894,0.45532,0.24353,1.57285,1.1139,0.02263,0.0017195,0.0017195,0.0017195
19,74.8398,1.84369,1.50815,0.0155,0.56912,0.38483,0.41951,0.21808,1.62035,1.2028,0.02313,0.001703,0.001703,0.001703
20,140.891,1.78533,1.45818,0.01585,0.56163,0.39955,0.43173,0.23303,1.5614,1.16493,0.02226,0.0016865,0.0016865,0.0016865
21,208.299,1.83153,1.46774,0.01505,0.58536,0.40861,0.45924,0.2479,1.51638,1.11626,0.0206,0.00167,0.00167,0.00167
22,280.009,1.77052,1.48667,0.01577,0.58417,0.41807,0.45638,0.24961,1.56405,1.153,0.02194,0.0016535,0.0016535,0.0016535
23,347.726,1.76886,1.41757,0.01489,0.56084,0.39671,0.41387,0.21132,1.66452,1.25038,0.02283,0.001637,0.001637,0.001637
24,418.62,1.75336,1.43477,0.01484,0.63726,0.42327,0.47342,0.25011,1.5872,1.07652,0.02197,0.0016205,0.0016205,0.0016205
25,486.938,1.78346,1.43315,0.01476,0.61684,0.40889,0.4559,0.25332,1.51867,1.09365,0.0209,0.001604,0.001604,0.001604
26,554.076,1.79965,1.43396,0.01424,0.61173,0.43457,0.48082,0.26242,1.522,1.002,0.02127,0.0015875,0.0015875,0.0015875
27,614.193,1.76743,1.4108,0.01518,0.572,0.37647,0.42091,0.23143,1.56286,1.43477,0.02219,0.001571,0.001571,0.001571
28,681.472,1.77203,1.41469,0.01474,0.67528,0.40685,0.47458,0.26053,1.54903,1.04152,0.02197,0.0015545,0.0015545,0.0015545
29,749.538,1.76168,1.3765,0.01407,0.65912,0.43457,0.48722,0.27151,1.49888,1.02138,0.02088,0.001538,0.001538,0.001538
30,816.352,1.71518,1.41558,0.0141,0.63156,0.45047,0.49581,0.2734,1.48054,1.0412,0.02011,0.0015215,0.0015215,0.0015215
31,883.483,1.68274,1.30278,0.01467,0.61978,0.43049,0.47642,0.25818,1.5158,1.06866,0.02089,0.001505,0.001505,0.001505
32,949.395,1.70052,1.37428,0.01502,0.61002,0.44558,0.47405,0.25424,1.54185,1.07639,0.02148,0.0014885,0.0014885,0.0014885
33,1016.39,1.69074,1.32478,0.01457,0.60981,0.4203,0.47506,0.26402,1.52277,1.05224,0.02088,0.001472,0.001472,0.001472
34,1086.42,1.67783,1.30143,0.01392,0.6303,0.40519,0.45799,0.25967,1.4697,1.0562,0.01975,0.0014555,0.0014555,0.0014555
35,1154.34,1.7183,1.34604,0.01396,0.60345,0.43661,0.47141,0.25911,1.54374,1.08281,0.02165,0.001439,0.001439,0.001439
36,1225.27,1.65785,1.28768,0.01413,0.6175,0.43416,0.4787,0.2705,1.45036,1.0467,0.01928,0.0014225,0.0014225,0.0014225
37,1292.08,1.711,1.34332,0.0135,0.64376,0.45577,0.50306,0.27115,1.54313,1.08142,0.02154,0.001406,0.001406,0.001406
38,1365.9,1.72593,1.3269,0.01337,0.61004,0.45216,0.48375,0.26791,1.51145,1.05254,0.0205,0.0013895,0.0013895,0.0013895
39,1442.32,1.64441,1.29593,0.01419,0.60982,0.46718,0.50024,0.27719,1.47913,1.09245,0.01981,0.001373,0.001373,0.001373
