epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1923.2,1.40686,2.24511,0.00413,0.81138,0.77641,0.84124,0.71176,0.72031,0.96036,0.00318,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612
2,3641.45,0.89562,0.87629,0.00241,0.86101,0.84171,0.89732,0.78183,0.62,0.6843,0.00259,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352
3,5905.7,0.82478,0.68655,0.0023,0.88289,0.86141,0.91754,0.81012,0.55872,0.56543,0.00246,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493
4,7180.74,0.73449,0.56604,0.00214,0.89688,0.87627,0.92831,0.82859,0.54097,0.48795,0.00254,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,9522.46,0.65265,0.4859,0.00188,0.90867,0.88293,0.94028,0.87417,0.43244,0.41394,0.00215,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,10917.6,0.61132,0.45612,0.00174,0.91467,0.8906,0.94682,0.88676,0.39756,0.38341,0.00202,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,12368.9,0.58036,0.42441,0.00163,0.91343,0.89569,0.95177,0.89493,0.38336,0.37042,0.00181,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,13594.9,0.55291,0.40055,0.00157,0.92126,0.898,0.95682,0.90034,0.38206,0.34768,0.00178,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,14854.4,0.53805,0.38498,0.00148,0.92623,0.90165,0.95978,0.91047,0.35225,0.33242,0.00166,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,17569.4,0.52202,0.37276,0.00145,0.92988,0.89964,0.96044,0.907,0.36344,0.32501,0.00163,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,19295.2,0.51027,0.36391,0.00139,0.93019,0.90235,0.96218,0.91235,0.35051,0.31938,0.00172,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,20849.3,0.50417,0.35748,0.00138,0.92969,0.90722,0.96181,0.91279,0.35488,0.31752,0.00176,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,22145.8,0.49808,0.34764,0.00134,0.92931,0.91096,0.96532,0.92122,0.32987,0.30237,0.00157,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,23522.8,0.48635,0.34452,0.00133,0.93165,0.91046,0.96601,0.92281,0.32534,0.29697,0.00161,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,24960.8,0.48124,0.33817,0.0013,0.93164,0.91187,0.96668,0.92522,0.319,0.29615,0.00152,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,26480.9,0.47636,0.33382,0.00127,0.91186,0.8765,0.939,0.88625,0.38222,0.44178,0.00189,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,28101.4,0.47325,0.33389,0.00128,0.93419,0.91148,0.96769,0.92492,0.3197,0.28947,0.00152,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,29875.4,0.46567,0.32945,0.00125,0.93197,0.91313,0.96729,0.926,0.3136,0.29458,0.00141,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,31235,0.46253,0.32534,0.00124,0.93642,0.91304,0.96884,0.92868,0.31033,0.28294,0.00144,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,32717.3,0.45261,0.31861,0.00122,0.93089,0.92085,0.97056,0.93256,0.30267,0.27512,0.00139,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,34126.1,0.45343,0.31886,0.00121,0.93608,0.91271,0.96976,0.93123,0.30409,0.27972,0.0014,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,35332.5,0.45028,0.31472,0.00121,0.93329,0.91577,0.96985,0.93092,0.30446,0.27964,0.00139,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,36857.8,0.44359,0.30865,0.00116,0.93472,0.91974,0.97047,0.93344,0.29903,0.27819,0.0014,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,38194.8,0.44288,0.31015,0.00117,0.9379,0.91277,0.97016,0.93247,0.30074,0.27884,0.0014,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,40177.2,0.44056,0.30656,0.00114,0.93632,0.91463,0.9706,0.93237,0.30239,0.27609,0.00137,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,41937.2,0.43662,0.30503,0.00113,0.93442,0.91904,0.97044,0.93363,0.2971,0.276,0.00133,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,43406.6,0.43614,0.30447,0.00113,0.93385,0.92226,0.97063,0.93525,0.29098,0.27154,0.00132,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,45659.4,0.43181,0.30182,0.00111,0.93649,0.92188,0.97124,0.93544,0.29187,0.27117,0.0013,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,47010.7,0.42745,0.29872,0.0011,0.93845,0.91745,0.97169,0.93686,0.28939,0.26841,0.00128,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,48576.8,0.42901,0.29768,0.0011,0.936,0.92411,0.97227,0.93531,0.29685,0.26586,0.00134,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,49602,0.4244,0.29247,0.00108,0.93675,0.92082,0.97241,0.93864,0.28334,0.26387,0.00131,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,50850.4,0.42048,0.29228,0.00109,0.93528,0.92179,0.97252,0.938,0.28826,0.26369,0.00132,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,52092.9,0.42047,0.29249,0.00109,0.93241,0.92743,0.97255,0.93648,0.29022,0.26609,0.0013,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,54592.8,0.41937,0.28946,0.00107,0.93717,0.92344,0.97289,0.93962,0.28223,0.26129,0.00127,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,56199.9,0.41888,0.28892,0.00106,0.94007,0.92421,0.97321,0.93955,0.28138,0.25901,0.00124,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,57474.1,0.41244,0.28631,0.00106,0.93769,0.92439,0.9732,0.9395,0.28349,0.26005,0.00123,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,60061.9,0.41217,0.28658,0.00105,0.9332,0.92539,0.97332,0.941,0.27728,0.2596,0.00127,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,61173.7,0.41267,0.28425,0.00105,0.93691,0.92481,0.97393,0.94078,0.28025,0.25713,0.00123,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,64212.3,0.41032,0.28176,0.00103,0.93688,0.92777,0.97397,0.94165,0.27671,0.25505,0.00125,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,66038.4,0.40805,0.28153,0.00103,0.94283,0.92567,0.97444,0.94261,0.27336,0.25217,0.00124,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,67400.8,0.40815,0.28095,0.00102,0.93769,0.92814,0.97439,0.94218,0.27446,0.25381,0.00122,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,68916,0.40469,0.27878,0.00101,0.93859,0.92938,0.97449,0.94267,0.27478,0.25229,0.00119,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,70376,0.40247,0.27576,0.00101,0.93938,0.92863,0.97467,0.9432,0.27322,0.2519,0.00118,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,71698,0.40228,0.27509,0.00101,0.94098,0.92628,0.97451,0.9436,0.27149,0.25142,0.00118,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,73495.7,0.39748,0.27376,0.001,0.9427,0.92716,0.97464,0.94311,0.27278,0.25259,0.00123,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,74658.2,0.39635,0.27244,0.001,0.93947,0.92848,0.97458,0.94305,0.27195,0.25316,0.00118,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,76000.5,0.39407,0.27027,0.00099,0.94213,0.93003,0.97504,0.94447,0.2698,0.24817,0.00119,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,77238.2,0.39097,0.2693,0.00098,0.94137,0.92971,0.97463,0.94351,0.2704,0.24955,0.00116,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,78293.3,0.39089,0.26913,0.00097,0.94502,0.92705,0.97578,0.9459,0.26431,0.24488,0.00117,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,79714.4,0.38699,0.26602,0.00096,0.9462,0.92633,0.97568,0.9461,0.26528,0.24633,0.00115,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,81194.1,0.3861,0.26557,0.00096,0.94343,0.92828,0.97566,0.94678,0.26156,0.24444,0.00115,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,82376.2,0.38316,0.26354,0.00096,0.94402,0.92715,0.97558,0.94639,0.26316,0.24569,0.00114,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,83462.3,0.3827,0.26309,0.00095,0.94336,0.92975,0.97588,0.9468,0.26309,0.24403,0.00113,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,84910.1,0.38037,0.26123,0.00094,0.94465,0.92996,0.9763,0.94718,0.26324,0.24172,0.00114,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,86279.1,0.37814,0.25874,0.00094,0.94552,0.92933,0.97618,0.94741,0.26153,0.24166,0.00114,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,87787.1,0.37634,0.25874,0.00093,0.94495,0.92974,0.97633,0.94691,0.2633,0.24113,0.00114,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,89248.3,0.37378,0.25743,0.00092,0.94432,0.92864,0.97606,0.94708,0.26148,0.24261,0.00113,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,90586.1,0.37112,0.25546,0.00092,0.94574,0.92924,0.9764,0.94797,0.25855,0.23908,0.00111,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,92304,0.37005,0.2553,0.00091,0.94549,0.9295,0.97634,0.94703,0.26092,0.24014,0.00113,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,93445.9,0.36765,0.25261,0.0009,0.94522,0.92935,0.97639,0.94859,0.25658,0.24054,0.00112,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,94646.9,0.36531,0.2523,0.00091,0.94404,0.93083,0.97646,0.94869,0.25473,0.2404,0.00112,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,97421.7,0.36309,0.25164,0.00089,0.94555,0.92792,0.97621,0.94837,0.25529,0.24117,0.00111,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,98727.3,0.36203,0.25047,0.00089,0.94487,0.9296,0.97659,0.94871,0.25511,0.23968,0.00111,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,100379,0.35763,0.24632,0.00088,0.94313,0.93178,0.9768,0.94896,0.25432,0.23866,0.0011,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,102075,0.35954,0.24813,0.00088,0.94365,0.93113,0.97666,0.94905,0.25512,0.23891,0.0011,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,103657,0.35718,0.24756,0.00087,0.94436,0.93034,0.97626,0.94922,0.25274,0.23976,0.00111,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
