epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,188.196,0.71107,0.77358,0.33386,0.88752,0.86888,0.90011,0.60137,0.4086,0.48793,0.0885,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612,0.00997835,0.00332612
2,361.011,0.71418,0.43848,0.10966,0.86974,0.83679,0.87135,0.45701,0.56681,0.46487,0.0969,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352,0.0197806,0.00659352
3,534.308,0.96475,0.40354,0.14428,0.83191,0.78339,0.84512,0.40535,0.59381,0.51427,0.10912,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493,0.0293848,0.00979493
4,703.238,1.03412,0.39021,0.16478,0.82966,0.68882,0.7587,0.3506,0.67981,0.46477,0.10433,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,878.483,0.94298,0.4078,0.14191,0.84382,0.78523,0.84378,0.43802,0.58032,0.47979,0.10019,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1047.93,0.91773,0.41229,0.13254,0.83257,0.82384,0.89068,0.57643,0.41081,0.48447,0.07744,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1220.77,0.91553,0.41227,0.13488,0.79559,0.79802,0.83751,0.44204,0.56645,0.48888,0.09219,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1393.41,0.93781,0.41216,0.13613,0.7577,0.70664,0.77236,0.47597,0.53188,0.48414,0.10644,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1565.13,0.89625,0.41571,0.12615,0.83571,0.84531,0.90272,0.61695,0.37186,0.47823,0.0715,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1736.71,0.92009,0.40468,0.13378,0.8116,0.78043,0.83833,0.3762,0.65022,0.47765,0.11312,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1907.77,0.87466,0.41334,0.12164,0.86334,0.86198,0.91761,0.59758,0.39297,0.45659,0.06497,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2080.89,0.86648,0.41464,0.12,0.85102,0.81691,0.88812,0.50069,0.52547,0.49277,0.09006,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2251.21,0.90897,0.41389,0.1228,0.84089,0.81242,0.84735,0.47242,0.56249,0.44227,0.09597,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2425.45,0.86482,0.41234,0.11776,0.78069,0.7766,0.83777,0.48155,0.52427,0.47072,0.08387,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2595.78,0.83384,0.41977,0.11116,0.85248,0.79275,0.84392,0.426,0.61838,0.45112,0.0961,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2766.95,0.86675,0.41259,0.11784,0.8057,0.78625,0.87416,0.62378,0.36486,0.48946,0.06691,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2937.98,0.80397,0.42204,0.10665,0.86237,0.89371,0.9232,0.57776,0.43204,0.43732,0.07268,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3109.86,0.81021,0.41425,0.1066,0.87832,0.88892,0.93536,0.62961,0.38163,0.44625,0.07559,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3282.38,0.83863,0.41244,0.11398,0.86296,0.87674,0.9187,0.6359,0.36618,0.42603,0.064,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3457.04,0.76363,0.42539,0.09847,0.87787,0.89025,0.93422,0.69312,0.31272,0.42498,0.05495,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3629.93,0.83301,0.42214,0.11289,0.86412,0.85821,0.91836,0.69238,0.31094,0.4239,0.05861,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3803.7,0.81216,0.42041,0.10643,0.82823,0.82199,0.89584,0.64415,0.34475,0.47391,0.06594,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3975.17,0.81922,0.41099,0.10529,0.82667,0.82256,0.86486,0.48681,0.51775,0.46485,0.07897,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4148.47,0.80963,0.41879,0.10485,0.87122,0.85194,0.92721,0.6829,0.32542,0.4289,0.06053,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4318.53,0.79489,0.41663,0.10123,0.80768,0.79896,0.8366,0.4488,0.56711,0.46587,0.08747,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4493.8,0.83061,0.41819,0.10998,0.86248,0.88413,0.9264,0.62723,0.39974,0.43049,0.06423,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4664.08,0.76082,0.42602,0.09689,0.84941,0.90116,0.92211,0.60555,0.40912,0.42885,0.06683,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
