epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1471,1.4233,7.2118,0.01866,0.60075,0.65713,0.63321,0.37502,1.31509,2.90079,0.02274,0.000331699,0.000331699,0.000331699
2,78.9403,1.37526,1.92739,0.0181,0.67291,0.69279,0.69697,0.43397,1.2891,1.48653,0.02273,0.000658449,0.000658449,0.000658449
3,112.26,1.41587,1.52237,0.01892,0.66409,0.77664,0.81045,0.49668,1.3514,1.08094,0.02564,0.000978598,0.000978598,0.000978598
4,145.939,1.4667,1.30672,0.01972,0.79989,0.74725,0.81992,0.50131,1.32914,0.98331,0.02372,0.0009703,0.0009703,0.0009703
5,186.744,1.4311,1.25771,0.01912,0.80589,0.81587,0.85545,0.54566,1.29078,0.82331,0.02375,0.0009604,0.0009604,0.0009604
6,227.375,1.39804,1.11785,0.01862,0.85249,0.86047,0.92732,0.59404,1.24078,0.69169,0.02215,0.0009505,0.0009505,0.0009505
7,264.755,1.41019,1.07189,0.01923,0.82858,0.86975,0.89612,0.58871,1.20009,0.64446,0.02136,0.0009406,0.0009406,0.0009406
8,310.943,1.35636,0.9552,0.01797,0.85133,0.88614,0.9211,0.56097,1.33379,0.60584,0.02474,0.0009307,0.0009307,0.0009307
9,346.366,1.35072,0.9431,0.01786,0.87185,0.901,0.95065,0.60303,1.28485,0.56833,0.02224,0.0009208,0.0009208,0.0009208
10,386.344,1.31947,0.91948,0.01726,0.86784,0.90652,0.94412,0.58172,1.33684,0.59982,0.02391,0.0009109,0.0009109,0.0009109
11,427.98,1.33713,0.86522,0.01741,0.92267,0.91326,0.96992,0.64824,1.18625,0.48822,0.02101,0.000901,0.000901,0.000901
12,465.296,1.31695,0.85514,0.01756,0.92063,0.92546,0.96855,0.64248,1.16863,0.46272,0.02079,0.0008911,0.0008911,0.0008911
13,506.406,1.30304,0.84293,0.01749,0.8589,0.87933,0.91732,0.5908,1.23366,0.63362,0.02281,0.0008812,0.0008812,0.0008812
14,543.087,1.31123,0.81953,0.01731,0.87513,0.84684,0.94286,0.60788,1.24359,0.58428,0.023,0.0008713,0.0008713,0.0008713
15,585.765,1.2909,0.81068,0.01694,0.85791,0.91062,0.95177,0.63551,1.20496,0.52106,0.02162,0.0008614,0.0008614,0.0008614
16,629.695,1.26898,0.77995,0.01689,0.94588,0.91905,0.97177,0.6387,1.20324,0.45956,0.02113,0.0008515,0.0008515,0.0008515
17,667.249,1.26766,0.78628,0.01695,0.94294,0.93881,0.98234,0.6594,1.17309,0.4076,0.02073,0.0008416,0.0008416,0.0008416
18,703.398,1.2643,0.76812,0.01691,0.88895,0.91716,0.95989,0.64647,1.15241,0.45612,0.01997,0.0008317,0.0008317,0.0008317
19,747.577,1.2447,0.76205,0.0162,0.92195,0.93207,0.97332,0.66178,1.13408,0.46146,0.01941,0.0008218,0.0008218,0.0008218
20,786.223,1.24451,0.77197,0.01634,0.93423,0.94687,0.97609,0.65467,1.14798,0.41421,0.01992,0.0008119,0.0008119,0.0008119
21,830.806,1.2456,0.72764,0.01651,0.93629,0.95958,0.98734,0.67546,1.11168,0.38439,0.01938,0.000802,0.000802,0.000802
22,867.579,1.23479,0.68303,0.01617,0.9138,0.93741,0.98062,0.66841,1.14801,0.42363,0.02028,0.0007921,0.0007921,0.0007921
23,905.531,1.21529,0.68745,0.01594,0.94129,0.94695,0.97894,0.66371,1.14115,0.3912,0.01976,0.0007822,0.0007822,0.0007822
24,952.253,1.22353,0.70165,0.01584,0.91322,0.92671,0.984,0.6628,1.14005,0.43725,0.02066,0.0007723,0.0007723,0.0007723
25,987.04,1.2486,0.69412,0.01639,0.94316,0.94566,0.98193,0.66846,1.11096,0.37244,0.01936,0.0007624,0.0007624,0.0007624
26,1030.44,1.22254,0.6877,0.01596,0.955,0.95029,0.98452,0.68232,1.11175,0.36188,0.01947,0.0007525,0.0007525,0.0007525
27,1070.57,1.22278,0.66829,0.01572,0.96623,0.96796,0.98981,0.68477,1.11244,0.34909,0.01959,0.0007426,0.0007426,0.0007426
28,1116,1.19022,0.63454,0.01557,0.90679,0.90619,0.96667,0.64839,1.16488,0.46849,0.02099,0.0007327,0.0007327,0.0007327
29,1159.06,1.20379,0.65883,0.01567,0.95659,0.97342,0.99014,0.67477,1.1234,0.36499,0.01937,0.0007228,0.0007228,0.0007228
30,1203.55,1.17731,0.64725,0.01549,0.95802,0.94704,0.98828,0.68462,1.1056,0.34811,0.01908,0.0007129,0.0007129,0.0007129
31,1241.93,1.17857,0.65002,0.01519,0.96341,0.96426,0.98904,0.684,1.08404,0.33631,0.01856,0.000703,0.000703,0.000703
32,1288.09,1.16699,0.64461,0.01494,0.93254,0.96127,0.98643,0.65893,1.17263,0.37441,0.02004,0.0006931,0.0006931,0.0006931
33,1326.69,1.17997,0.64603,0.0154,0.97538,0.96114,0.99097,0.68501,1.09852,0.33888,0.01997,0.0006832,0.0006832,0.0006832
34,1373.06,1.16789,0.60998,0.01549,0.9618,0.97895,0.99244,0.68977,1.0774,0.34117,0.01855,0.0006733,0.0006733,0.0006733
35,1417.3,1.16127,0.6117,0.01472,0.93565,0.96184,0.98888,0.68421,1.09861,0.38266,0.01909,0.0006634,0.0006634,0.0006634
