epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1
1,252.947,0.64618,0.56547,0.85448,0.90803,0.91256,0.95077,0.86064,0.42952,0.34832,0.81018,0.000499878,0.00999756
2,505.782,0.53742,0.38624,0.82179,0.91397,0.91758,0.95781,0.88512,0.3697,0.31452,0.80084,0.000499512,0.00999023
3,758.542,0.51196,0.36399,0.8157,0.91827,0.91886,0.95985,0.88411,0.38499,0.31406,0.79833,0.000498902,0.00997803
4,1010.08,0.48237,0.34919,0.81147,0.9197,0.91972,0.96073,0.89585,0.34885,0.2952,0.79566,0.000498048,0.00996097
5,1263.64,0.46035,0.33728,0.80838,0.92131,0.92081,0.96167,0.90004,0.33894,0.289,0.79406,0.000496953,0.00993906
6,1516.05,0.45078,0.33044,0.80661,0.92187,0.92121,0.96203,0.90236,0.33318,0.28749,0.79221,0.000495616,0.00991232
7,1768.84,0.44261,0.32361,0.80548,0.92338,0.9226,0.96294,0.90406,0.33114,0.28127,0.79066,0.000494039,0.00988079
8,2020.97,0.43763,0.31955,0.80395,0.92358,0.92427,0.96333,0.90556,0.32628,0.27767,0.79065,0.000492224,0.00984449
9,2273.27,0.43479,0.31569,0.8026,0.92505,0.9245,0.96381,0.90837,0.32124,0.2748,0.78935,0.000490173,0.00980345
10,2525.56,0.42991,0.31328,0.80204,0.92591,0.9249,0.96418,0.90928,0.3193,0.27251,0.78855,0.000487886,0.00975773
11,2778.64,0.4257,0.30909,0.80133,0.92682,0.9256,0.96455,0.91057,0.31677,0.26897,0.78802,0.000485368,0.00970736
12,3030.69,0.42268,0.3078,0.80067,0.9269,0.92648,0.96569,0.91177,0.31391,0.26602,0.78761,0.00048262,0.00965239
13,3283.26,0.42033,0.30409,0.80013,0.92734,0.92752,0.96601,0.91243,inf,0.26458,0.78736,0.000479644,0.00959289
14,3535.54,0.41719,0.30229,0.79937,0.92753,0.92694,0.96707,0.91383,0.31028,0.26305,0.78701,0.000476445,0.00952889
15,3789.1,0.41421,0.30027,0.79901,0.92824,0.92779,0.96737,0.91462,0.30807,0.26185,0.78657,0.000473024,0.00946048
16,4040.18,0.41036,0.29858,0.79877,0.92905,0.9277,0.96763,0.91548,0.30677,0.2596,0.78643,0.000469386,0.00938772
17,4293.95,0.40815,0.29534,0.79809,0.92851,0.9288,0.9679,0.91639,inf,0.25824,0.78585,0.000465534,0.00931067
18,4546.17,0.4071,0.29468,0.79769,0.92989,0.92794,0.96811,0.91748,inf,0.25685,0.78555,0.000461471,0.00922942
19,4798.3,0.40418,0.29239,0.79707,0.93048,0.92771,0.96826,0.91809,0.30229,0.25552,0.78522,0.000457202,0.00914405
20,5050.4,0.40237,0.2917,0.79698,0.93071,0.92829,0.96843,0.91849,0.30057,0.25439,0.78517,0.000452732,0.00905463
21,5302.89,0.40059,0.28985,0.79664,0.93008,0.92912,0.96862,0.9193,inf,0.25348,0.78477,0.000448063,0.00896127
22,5555.31,0.39996,0.28888,0.79603,0.93113,0.92852,0.96879,0.91994,0.29806,0.25196,0.78439,0.000443202,0.00886404
23,5807.48,0.39723,0.28755,0.79595,0.93119,0.9291,0.96891,0.92052,inf,0.25067,0.78424,0.000438152,0.00876305
24,6060.27,0.39604,0.28628,0.79549,0.93175,0.92884,0.9691,0.92115,0.29594,0.24984,0.78405,0.00043292,0.00865839
25,6312.62,0.39351,0.28423,0.79531,0.93084,0.93,0.97041,0.92151,0.29475,0.24927,0.78386,0.000427509,0.00855018
26,6563.89,0.39412,0.2847,0.7952,0.93099,0.9301,0.97047,0.92204,inf,0.24814,0.78372,0.000421925,0.00843851
